player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
151,"Callum Robinson",100,374.0,3.60,2,2.00,"WOL ",FWD,5.2,1
152,Pépé,100,374.0,3.60,2,0.00,"NEW ",MID,7.6,1
153,Godfrey,100,374.0,3.60,2,2.80,"AVL ",DEF,5.0,1
154,Saint-Maximin,100,205.0,4.20,3,0.00,"ARS ",MID,5.1,2
155,Alderweireld,100,180.0,0.60,2,0.00,"SHU ",DEF,5.4,6
156,Bartley,100,444.0,2.00,2,4.00,"WOL ",DEF,4.4,2
157,Havertz,100,264.0,3.40,2,0.00,"FUL ",MID,8.2,16
158,Kouyaté,100,450.0,2.00,4,0.00,"MCI ",MID,4.8,1
159,Decordova-Reid,100,270.0,0.80,4,1.00,"CHE ",FWD,5.3,2
160,Podence,100,257.0,1.60,2,0.00,"WBA ",MID,5.3,1
161,Taylor,100,237.0,1.40,4,0.00,"WHU ",DEF,4.4,1
162,Pulisic,100,365.0,6.00,2,3.00,"FUL ",MID,8.3,0
163,Holgate,100,432.0,2.80,2,2.40,"AVL ",DEF,4.8,1
164,Doucouré,0,0.0,0.00,2,1.00,"AVL ",MID,5.1,0
165,Dendoncker,100,374.0,3.60,2,1.00,"WBA ",MID,4.6,2
166,Barkley,100,156.0,1.60,3,2.30,"EVE ",MID,5.8,2
167,Webster,100,180.0,1.60,3,5.00,"LEE ",DEF,4.3,6
168,March,0,0.0,0.00,3,3.00,"LEE ",MID,4.9,0
169,Bale,100,92.0,2.20,2,0.00,"SHU ",MID,9.1,21
170,Bissouma,100,450.0,2.60,3,1.00,"LEE ",MID,4.4,3
171,Abraham,100,3.0,0.20,2,1.00,"FUL ",FWD,7.1,1
172,Anguissa,100,297.0,1.40,4,2.00,"CHE ",MID,4.5,2
173,Fofana,100,421.0,3.20,2,0.00,"SOU ",DEF,5.0,1
174,Reed,100,336.0,2.00,4,2.00,"CHE ",MID,4.4,0
175,Walcott,100,227.0,1.80,4,2.00,"LEI ",MID,5.8,0
176,Boly,100,270.0,1.60,2,12.00,"WBA ",DEF,5.4,0
177,Willian,100,28.0,0.40,2,1.00,"NEW ",MID,7.5,3
178,Welbeck,100,438.0,4.20,3,0.00,"LEE ",FWD,5.5,12
